longitude,latitude,primary_unitid,zone,dispatch_date_to_onscene_date_mins
-69.852467,18.52195,B-0140,S-B1,33.9
-69.9414,18.545,B-0145,S-B2,
-69.8199,18.5106,B-0142,S-B3,
-69.9794,18.4677,B-0129,S-A3,
-70.1001,18.4221,CRD-2103,S-SC,6.7
-70.366,18.258617,CRD-1704,S-BAN,13.1
-70.0057,18.5429,B-0126,S-A2,18.7
-70.0031,18.54,A-0104,S-A2,
-70.0513,18.5058,A-0104,S-A2,
-69.690033,18.4704,B-0153,S-B2,25.1
-69.9924,18.4766,A-0110,S-A3,
-69.9496,18.4624,A-0109,S-A3,14
-69.82565,18.499617,B-0157,S-B1,12.2
-70.0071,18.4812,CRD-0113,S-A3,
-69.697,18.4701,,S-B2,
-69.8064,18.4728,A-0115,S-B3,
-69.81382538,18.47172264,B-0153,S-B3,45.7
-69.9357,18.4731,A-0101,S-A1,11.5
-69.869583,18.4907,B-0137,S-B1,22.1
-69.9283,18.538,A-0112,S-B2,
-69.820583,18.53185,B-0156,S-B3,13.5
-69.951883,18.521567,A-0113,S-B2,6.3
-69.8274,18.696,CRD-2901,S-MPL,
-69.0214,18.4613,CRD-1201,S-VHE,18
-70.427,18.248183,CRD-1705,S-MAT,26.6
-69.8174,18.5432,B-0155,S-B3,
-69.932883,18.542333,B-0152,S-B2,5.9
-69.9353,18.5934,,S-B2,
-69.6097,18.4508,A-0117,S-B3,6.3
-69.990833,18.427733,B-0114,S-A3,6
-69.839483,18.5031,B-0140,S-B1,11.7
-69.809217,18.512,B-0158,S-B3,17.7
-69.94,18.7117,B-2905,S-YAM,
-69.8843,18.5398,B-0143,S-B2,
-70.1466,18.5477,,S-VAL,
-69.969,18.4783,B-0105,S-A3,10
-69.981633,18.52055,B-0111,S-A3,25
-69.90035,18.541267,A-0112,S-B2,20.6
-69.996683,18.477067,CRD-0113,S-A3,37.6
-69.93395,18.495267,B-0111,S-A1,14.4
-69.8175,18.4989,B-0157,S-B3,11.4
-69.7715,18.4801,B-0154,S-B3,
-69.932733,18.54295,B-0145,S-B2,49.7
-69.897133,18.469433,B-0108,S-A1,14.6
-69.9093,18.4989,CRD-0132,S-A1,34.6
-69.907867,18.494583,A-0103,S-A1,43.8
-69.64715,18.452083,A-0115,S-B2,0.1
-69.8981,18.4901,A-0103,S-A1,
-68.9887,18.4307,CRD-1205,S-LRO,25.9
-70.0925,18.4297,CRD-2103,S-SC,
-70.289667,18.272217,CRD-1703,S-BAN,13.5
-69.8414,18.538017,B-0142,S-B3,15.8
-68.6973,18.620817,A-1108,S-HIG,8
-69.895767,18.53355,B-0150,S-B2,25
-69.9084,18.4886,A-0101,S-A1,43.8
-70.061833,18.48265,CRD-0116,S-A2,9.2
-69.299517,18.438883,A-2301,S-SPM,32.3
-69.8635,18.4815,B-0138,S-B1,39
-70.052533,18.43065,CRD-2113,S-BH,28.2
-68.896133,18.534333,CRD-1207,S-GTE,11.5
-69.88908412,18.47446449,B-0101,S-A1,12.1
-70.0209,18.515683,B-0117,S-A2,14.3
-69.881133,18.5012,B-0109,S-A1,16.4
-68.4044,18.613,B-1104,S-HIG,14.6
-69.8446,18.5037,B-0140,S-B1,
-69.930533,18.54515,B-0152,S-B2,14.9
-70.063167,18.427083,A-2101,S-SC,9.3
-69.941317,18.5026,B-0111,S-A3,11.3
-69.8626,18.5476,B-0151,S-B2,
-69.913683,18.505533,B-0115,S-A1,15.9
-69.795555,18.472221,B-0159,S-B3,
-69.314723,18.446667,,SAN PEDRO DE MACORIS,
-68.4197,18.5848,A-1106,S-HIG,58.5
-69.2981,18.5569,,S-CON,
-69.8435,18.5358,CRD-0161,S-B3,15
-69.9778,18.4602,B-0105,S-A3,
-69.85245,18.521783,B-0112,S-B1,5.8
-70.01421179,18.53033303,B-0131,S-A2,24.8
-69.2622,18.4629,CRD-2301,S-SPM,15.5
-70.035117,18.41325,A-2101,S-BH,0
-69.869333,18.5154,CRD-0160,S-B1,14.9
-69.8856,18.5084,B-0109,S-A1,14.6
-69.839533,18.507817,B-0140,S-B1,18.2
-69.862483,18.560433,B-0148,S-B2,14.8
-69.911317,18.467167,A-0107,S-A1,19.1
-69.822083,18.475183,B-0112,S-B3,7.1
-69.81333,18.465279,A-0115,S-B3,13.7
-69.86025,18.49795,A-0108,S-B1,11.1
-69.919283,18.502183,B-0133,S-A1,6.6
-69.8236,18.5399,CRD-0161,S-B3,14.5
-69.73865,18.470417,A-0115,S-B3,10.9
-70.0318,18.4675,A-0110,S-A3,40.8
-68.9677,18.4232,A-1201,S-LRO,28.5
-70.114317,18.423583,A-2102,S-SC,15.2
-69.941183,18.53205,B-0149,S-B2,18.6
-69.8966,18.492617,A-0103,S-A1,10.8
-70.2936,18.3152,A-1702,S-BAN,18.9
-69.823,18.4797,B-0153,S-B3,
-70.1662,18.234367,CRD-2115,S-SGP,32.6
-69.87085,18.496967,B-0119,S-B1,15
-70.051367,18.447467,B-2110,S-BH,20.9
-69.8077,18.511,CRD-0161,S-B3,18.8
-69.83545,18.5035,B-0142,S-B1,34.7
-69.9304,18.536833,B-0149,S-B2,18.5
-69.916817,18.5286,B-0152,S-B2,17
-69.8738,18.5066,CRD-0160,S-B1,
-68.719917,18.627883,A-1108,S-HIG,11.8
-69.9953,18.4282,B-0114,S-A3,15.6
-69.857917,18.496817,CRD-0160,S-B1,13.9
-69.785834,18.470278,B-0155,S-B3,11.5
-70.037467,18.517983,B-0117,S-A2,10.4
-69.904983,18.500417,A-0107,S-A1,6.6
-69.994167,18.500767,A-0109,S-A3,10.5
-68.3678,18.5326,,S-ALT,
-69.003967,18.445067,CRD-1201,S-VHE,23.2
-69.315867,18.45935,CRD-2302,S-SPM,13.5
-70.152,18.4226,CRD-2105,S-SC,
-70.1832,18.3891,CRD-2107,S-SC,15.6
-69.9961,18.4844,CRD-0116,S-A3,4.1
-69.9281,18.5013,B-0115,S-A1,10.2
-69.904167,18.50585,CRD-0132,S-A1,0.1
-69.888567,18.493667,B-0133,S-A1,12.3
-69.821083,18.520933,B-0140,S-B3,7.2
-70.1806,18.337083,A-2104,S-YAG,3.6
-69.884417,18.4939,A-0108,S-A1,21.7
-69.703,18.562267,A-0116,S-B2,14
-69.9794,18.4677,,S-A3,
-69.295583,18.539333,CRD-2302,S-CON,4.9
-69.8559,18.817417,CRD-2901,S-MPL,11.2
-69.917367,18.56825,B-0145,S-B2,15.3
-69.813267,18.470267,B-0157,S-B3,15.8
-69.9451,18.530133,B-0149,S-B2,5.1
-69.6308,18.4458,,S-B2,
-69.942867,18.530767,B-0149,S-B2,23.8
-69.8431,18.592,B-0145,S-B2,
-70.122167,18.348517,CRD-2105,S-SC,26
-69.884733,18.498083,B-0121,S-A1,13.5
-69.83725,18.486133,B-0155,S-B1,13.7
-69.8497,18.50725,B-0139,S-B1,23.7
-69.891767,18.4764,B-0138,S-A1,14
-70.018,18.5368,A-0105,S-A2,6.8
-70.13095,18.4288,A-2102,S-SC,12.2
-69.930533,18.53925,B-0152,S-B2,11.4
-70.034083,18.419383,CRD-2111,S-BH,10.8
-69.820067,18.505067,A-0114,S-B3,17.8
-69.298133,18.460567,CRD-2302,S-SPM,26.1
-69.906067,18.49375,A-0103,S-A1,8.3
-68.9722985,18.44618361,CRD-1202,S-LRO,3
-68.4044,18.613,A-1106,S-HIG,
-69.853,18.480833,B-0137,S-B1,36.7
-70.1001,18.4221,A-2102,S-SC,
-69.9317,18.504483,B-0133,S-A3,10.8
-69.295483,18.48175,CRD-2303,S-SPM,14.8
-69.699017,18.4663,A-0115,S-B2,10.7
-69.697,18.4701,,S-B2,
-69.816983,18.501767,B-0156,S-B3,15.3
-69.6069,18.4611,U-0172,S-B1,20.1
-69.945583,18.553817,A-0113,S-B2,8.2
-69.846267,18.525067,B-0140,S-B1,26.3
-69.84605,18.499167,CRD-0160,S-B1,19.8
-70.031917,18.524,B-0125,S-A2,19.5
-69.7661,18.4699,B-0158,S-B3,10.5
-68.978467,18.42115,CRD-1203,S-LRO,20.6
-70.36423515,18.25880486,CRD-1704,S-BAN,9.6
-69.7715,18.4801,B-0153,S-B3,
-69.9425,18.545883,A-0112,S-B2,16.8
-69.771389,18.494167,CRD-0162,S-B3,22
-69.8787,18.5026,B-0121,S-A1,
